,Te[K],Tc[K],dT[K],P[bar],Q[W],Fluid,FR,TR[K/W]
38,349.15,317.9,31.25,0.7799355253299061,80,DI_Water,60,0.390625
39,350.4833333333333,320.15,30.33333333333333,0.7799355253299061,80,DI_Water,60,0.3791666666666666
40,351.4833333333333,320.65,30.83333333333333,0.8132661033354576,80,DI_Water,60,0.3854166666666666
41,351.4833333333333,322.15,29.33333333333333,0.8132661033354576,80,DI_Water,60,0.3666666666666666
42,352.15,321.65,30.5,0.8465966813410092,80,DI_Water,60,0.38125
43,352.81666666666666,324.15,28.66666666666667,0.8465966813410092,80,DI_Water,60,0.3583333333333334
44,352.81666666666666,323.9,28.91666666666667,0.8465966813410092,80,DI_Water,60,0.3614583333333334
45,352.4833333333333,324.9,27.58333333333333,0.8799272593465607,80,DI_Water,60,0.3447916666666666
46,354.15,325.9,28.25,0.8799272593465607,80,DI_Water,60,0.353125
47,354.4833333333333,326.65,27.83333333333333,0.8799272593465607,80,DI_Water,60,0.3479166666666666
48,353.4833333333333,326.9,26.58333333333333,0.9132578373521122,80,DI_Water,60,0.3322916666666666
49,354.15,327.15,27.0,0.9465884153576638,80,DI_Water,60,0.3375
50,355.15,327.65,27.5,0.9465884153576638,80,DI_Water,60,0.34375
51,355.15,329.15,26.0,0.9465884153576638,80,DI_Water,60,0.325
52,356.81666666666666,329.9,26.91666666666667,0.9465884153576638,80,DI_Water,60,0.3364583333333334
53,356.4833333333333,329.65,26.83333333333333,0.9799189933632152,80,DI_Water,60,0.3354166666666666
54,356.81666666666666,331.65,25.16666666666667,0.9799189933632152,80,DI_Water,60,0.3145833333333334
55,356.81666666666666,331.65,25.16666666666667,0.9799189933632152,80,DI_Water,60,0.3145833333333334
56,355.4833333333333,330.9,24.58333333333333,0.9799189933632152,80,DI_Water,60,0.3072916666666666
57,304.75,304.15,0.6000000000000014,0.4132991672688391,80,DI_Water,60,0.0075
58,304.95,304.15,0.8000000000000007,0.4132991672688391,80,DI_Water,60,0.01
59,305.75,304.4,1.3500000000000014,0.4132991672688391,80,DI_Water,60,0.016875
60,306.95,304.9,2.049999999999997,0.4132991672688391,80,DI_Water,60,0.0256249999999999
61,308.75,305.15,3.6000000000000014,0.4132991672688391,80,DI_Water,60,0.045
62,310.75,305.65,5.100000000000001,0.4132991672688391,80,DI_Water,60,0.06375
63,312.35,306.4,5.950000000000003,0.4132991672688391,80,DI_Water,60,0.074375
64,314.35,306.9,7.450000000000003,0.4132991672688391,80,DI_Water,60,0.093125
65,316.15,307.9,8.25,0.4132991672688391,80,DI_Water,60,0.103125
66,317.95,308.4,9.549999999999995,0.4132991672688391,80,DI_Water,60,0.1193749999999999
67,319.95,309.4,10.549999999999995,0.4132991672688391,80,DI_Water,60,0.1318749999999999
68,321.95,310.15,11.799999999999995,0.4132991672688391,80,DI_Water,60,0.1474999999999999
69,323.54999999999995,311.15,12.4,0.4132991672688391,80,DI_Water,60,0.1549999999999999
70,325.35,311.4,13.950000000000005,0.4132991672688391,80,DI_Water,60,0.174375
71,326.95,312.15,14.799999999999995,0.4466297452743906,80,DI_Water,60,0.1849999999999999
72,328.35,312.9,15.450000000000005,0.4466297452743906,80,DI_Water,60,0.193125
73,329.95,313.9,16.049999999999997,0.4799603232799422,80,DI_Water,60,0.2006249999999999
74,331.35,314.65,16.700000000000003,0.4799603232799422,80,DI_Water,60,0.20875
75,332.95,315.65,17.299999999999997,0.4799603232799422,80,DI_Water,60,0.2162499999999999
76,334.15,316.15,18.0,0.4799603232799422,80,DI_Water,60,0.225
77,335.75,316.65,19.1,0.4799603232799422,80,DI_Water,60,0.23875
78,336.95,317.9,19.05,0.4799603232799422,80,DI_Water,60,0.2381249999999999
79,338.15,318.15,20.0,0.5132909012854937,80,DI_Water,60,0.25
80,339.75,319.15,20.599999999999994,0.5132909012854937,80,DI_Water,60,0.2574999999999999
81,340.95,319.9,21.05,0.5466214792910453,80,DI_Water,60,0.2631249999999999
82,341.54999999999995,320.15,21.40000000000001,0.5466214792910453,80,DI_Water,60,0.2675
83,342.75,320.4,22.349999999999994,0.5466214792910453,80,DI_Water,60,0.2793749999999999
84,343.75,320.9,22.849999999999994,0.5799520572965968,80,DI_Water,60,0.2856249999999999
85,344.75,321.65,23.099999999999994,0.6132826353021483,80,DI_Water,60,0.2887499999999999
86,345.95,321.9,24.05,0.6132826353021483,80,DI_Water,60,0.300625
87,346.54999999999995,322.15,24.40000000000001,0.6132826353021483,80,DI_Water,60,0.305
88,347.35,322.9,24.450000000000003,0.6132826353021483,80,DI_Water,60,0.305625
89,347.75,323.4,24.349999999999994,0.6132826353021483,80,DI_Water,60,0.3043749999999999
90,348.95,323.9,25.05,0.6466132133076999,80,DI_Water,60,0.313125
91,349.54999999999995,324.4,25.15000000000001,0.6466132133076999,80,DI_Water,60,0.314375
92,349.54999999999995,325.15,24.40000000000001,0.6799437913132514,80,DI_Water,60,0.305
93,350.35,325.65,24.700000000000003,0.6799437913132514,80,DI_Water,60,0.30875
94,351.15,326.4,24.75,0.6799437913132514,80,DI_Water,60,0.309375
95,348.15,328.9,19.25,0.6799437913132514,80,DI_Water,60,0.240625
96,350.15,328.65,21.5,0.713274369318803,80,DI_Water,60,0.26875
97,351.54999999999995,328.15,23.40000000000001,0.713274369318803,80,DI_Water,60,0.2925000000000001
98,352.54999999999995,328.4,24.15000000000001,0.7466049473243546,80,DI_Water,60,0.301875
