,Te[K],Tc[K],dT[K],P[bar],TR[K/W],Fluid,FR
469,308.54999999999995,303.9,3.25,0.3799685892632876,0.040625,Al2O3_DI_Water,60
470,310.54999999999995,304.15,4.666666666666664,0.3799685892632876,0.0583333333333333,Al2O3_DI_Water,60
471,312.75,305.15,5.666666666666664,0.3799685892632876,0.0708333333333333,Al2O3_DI_Water,60
472,314.75,306.15,6.333333333333336,0.3799685892632876,0.0791666666666666,Al2O3_DI_Water,60
473,316.15,306.65,7.166666666666664,0.3799685892632876,0.0895833333333333,Al2O3_DI_Water,60
474,318.35,307.9,8.25,0.3799685892632876,0.103125,Al2O3_DI_Water,60
475,319.95,308.65,8.833333333333336,0.3799685892632876,0.1104166666666666,Al2O3_DI_Water,60
476,321.75,309.4,9.75,0.3799685892632876,0.121875,Al2O3_DI_Water,60
477,323.54999999999995,310.15,10.333333333333336,0.3799685892632876,0.1291666666666667,Al2O3_DI_Water,60
478,325.15,311.4,10.416666666666664,0.4132991672688391,0.1302083333333333,Al2O3_DI_Water,60
479,326.75,311.9,11.583333333333336,0.4132991672688391,0.1447916666666667,Al2O3_DI_Water,60
480,328.15,312.65,12.166666666666664,0.4132991672688391,0.1520833333333333,Al2O3_DI_Water,60
481,329.54999999999995,313.65,12.166666666666664,0.4132991672688391,0.1520833333333333,Al2O3_DI_Water,60
482,330.75,314.15,13.333333333333336,0.4466297452743906,0.1666666666666666,Al2O3_DI_Water,60
483,332.15,315.15,13.333333333333336,0.4466297452743906,0.1666666666666666,Al2O3_DI_Water,60
484,333.54999999999995,315.9,13.916666666666664,0.4466297452743906,0.1739583333333333,Al2O3_DI_Water,60
485,334.75,316.65,14.166666666666664,0.4799603232799422,0.1770833333333333,Al2O3_DI_Water,60
486,335.54999999999995,317.15,14.333333333333336,0.4799603232799422,0.1791666666666667,Al2O3_DI_Water,60
487,337.35,317.9,15.25,0.4799603232799422,0.190625,Al2O3_DI_Water,60
488,338.15,317.9,15.916666666666664,0.4799603232799422,0.1989583333333333,Al2O3_DI_Water,60
489,339.15,318.9,15.916666666666664,0.5132909012854937,0.1989583333333333,Al2O3_DI_Water,60
490,340.35,319.65,16.166666666666664,0.5132909012854937,0.2020833333333333,Al2O3_DI_Water,60
491,340.95,319.9,16.583333333333336,0.5466214792910453,0.2072916666666667,Al2O3_DI_Water,60
492,342.15,320.65,17.16666666666667,0.5466214792910453,0.2145833333333334,Al2O3_DI_Water,60
493,342.35,320.65,17.5,0.5799520572965968,0.21875,Al2O3_DI_Water,60
494,343.15,321.65,17.16666666666667,0.5799520572965968,0.2145833333333334,Al2O3_DI_Water,60
495,344.15,322.4,17.41666666666667,0.6132826353021483,0.2177083333333334,Al2O3_DI_Water,60
496,344.54999999999995,322.65,17.83333333333333,0.6132826353021483,0.2229166666666666,Al2O3_DI_Water,60
497,345.54999999999995,323.4,18.08333333333333,0.6132826353021483,0.2260416666666666,Al2O3_DI_Water,60
498,345.95,324.4,17.08333333333333,0.6132826353021483,0.2135416666666666,Al2O3_DI_Water,60
499,346.54999999999995,324.9,17.58333333333333,0.6466132133076999,0.2197916666666666,Al2O3_DI_Water,60
500,347.54999999999995,325.4,18.08333333333333,0.6799437913132514,0.2260416666666666,Al2O3_DI_Water,60
501,347.54999999999995,325.65,17.83333333333333,0.6799437913132514,0.2229166666666666,Al2O3_DI_Water,60
502,348.54999999999995,326.9,17.58333333333333,0.6799437913132514,0.2197916666666666,Al2O3_DI_Water,60
503,349.15,327.4,17.75,0.6799437913132514,0.221875,Al2O3_DI_Water,60
504,349.54999999999995,327.9,17.58333333333333,0.713274369318803,0.2197916666666666,Al2O3_DI_Water,60
505,350.15,328.4,17.75,0.713274369318803,0.221875,Al2O3_DI_Water,60
506,350.75,329.4,17.41666666666667,0.7466049473243546,0.2177083333333334,Al2O3_DI_Water,60
507,350.95,329.4,17.75,0.7466049473243546,0.221875,Al2O3_DI_Water,60
508,351.95,329.9,18.25,0.7466049473243546,0.228125,Al2O3_DI_Water,60
509,352.15,330.15,18.0,0.7466049473243546,0.225,Al2O3_DI_Water,60
510,352.75,330.9,17.58333333333333,0.7466049473243546,0.2197916666666666,Al2O3_DI_Water,60
511,353.15,331.15,18.0,0.7799355253299061,0.225,Al2O3_DI_Water,60
512,353.15,331.9,17.25,0.7799355253299061,0.215625,Al2O3_DI_Water,60
513,353.75,332.15,17.33333333333333,0.8132661033354576,0.2166666666666666,Al2O3_DI_Water,60
